timestamp,mem_usage,cpu_perc
2026-06-28T13:56:14Z,316.7MiB / 7.654GiB,160.67%
2026-06-28T13:56:21Z,332.6MiB / 7.654GiB,25.37%
2026-06-28T13:56:27Z,332.3MiB / 7.654GiB,22.09%
2026-06-28T13:56:35Z,332.6MiB / 7.654GiB,24.60%
2026-06-28T13:56:41Z,335.1MiB / 7.654GiB,26.67%
2026-06-28T13:56:48Z,333MiB / 7.654GiB,23.37%
2026-06-28T13:56:55Z,332.8MiB / 7.654GiB,22.34%
2026-06-28T13:57:01Z,332.9MiB / 7.654GiB,23.42%
2026-06-28T13:57:08Z,333.1MiB / 7.654GiB,25.12%
2026-06-28T13:57:15Z,333.1MiB / 7.654GiB,20.40%
2026-06-28T13:57:21Z,332.9MiB / 7.654GiB,25.27%
2026-06-28T13:57:28Z,333.4MiB / 7.654GiB,22.24%
2026-06-28T13:57:35Z,333.1MiB / 7.654GiB,21.05%
2026-06-28T13:57:41Z,333.4MiB / 7.654GiB,23.68%
2026-06-28T13:57:48Z,332.9MiB / 7.654GiB,26.07%
2026-06-28T13:57:55Z,333.4MiB / 7.654GiB,20.28%
2026-06-28T13:58:01Z,333.2MiB / 7.654GiB,25.73%
2026-06-28T13:58:08Z,333.2MiB / 7.654GiB,25.61%
2026-06-28T13:58:15Z,333MiB / 7.654GiB,18.00%
2026-06-28T13:58:21Z,333.4MiB / 7.654GiB,22.00%
2026-06-28T13:58:28Z,332.9MiB / 7.654GiB,21.28%
2026-06-28T13:58:35Z,333.2MiB / 7.654GiB,21.74%
2026-06-28T13:58:41Z,333.4MiB / 7.654GiB,20.88%
2026-06-28T13:58:48Z,333MiB / 7.654GiB,26.45%
2026-06-28T13:58:55Z,333.5MiB / 7.654GiB,21.42%
2026-06-28T13:59:01Z,333MiB / 7.654GiB,21.33%
2026-06-28T13:59:08Z,333MiB / 7.654GiB,23.75%
2026-06-28T13:59:15Z,333.2MiB / 7.654GiB,20.43%
2026-06-28T13:59:21Z,333.2MiB / 7.654GiB,22.51%
2026-06-28T13:59:28Z,333.2MiB / 7.654GiB,19.64%
2026-06-28T13:59:35Z,333MiB / 7.654GiB,22.58%
2026-06-28T13:59:41Z,333.5MiB / 7.654GiB,24.21%
2026-06-28T13:59:48Z,333MiB / 7.654GiB,24.98%
2026-06-28T13:59:55Z,333.3MiB / 7.654GiB,22.36%
2026-06-28T14:00:01Z,333.3MiB / 7.654GiB,22.75%
2026-06-28T14:00:08Z,333.4MiB / 7.654GiB,25.03%
2026-06-28T14:00:15Z,333.6MiB / 7.654GiB,19.58%
2026-06-28T14:00:21Z,333.7MiB / 7.654GiB,21.50%
2026-06-28T14:00:28Z,333.5MiB / 7.654GiB,18.97%
2026-06-28T14:00:35Z,333.2MiB / 7.654GiB,24.10%
2026-06-28T14:00:41Z,333.8MiB / 7.654GiB,21.06%
2026-06-28T14:00:48Z,333.5MiB / 7.654GiB,21.65%
2026-06-28T14:00:55Z,333.3MiB / 7.654GiB,21.42%
2026-06-28T14:01:01Z,333.6MiB / 7.654GiB,23.23%
2026-06-28T14:01:08Z,333.3MiB / 7.654GiB,20.94%
2026-06-28T14:01:15Z,334.1MiB / 7.654GiB,20.59%
2026-06-28T14:01:21Z,333.6MiB / 7.654GiB,24.12%
2026-06-28T14:01:28Z,333.6MiB / 7.654GiB,20.65%
2026-06-28T14:01:35Z,333.6MiB / 7.654GiB,23.31%
2026-06-28T14:01:41Z,333.6MiB / 7.654GiB,23.90%
2026-06-28T14:01:48Z,333.6MiB / 7.654GiB,25.41%
2026-06-28T14:01:55Z,333.6MiB / 7.654GiB,23.66%
2026-06-28T14:02:01Z,333.7MiB / 7.654GiB,21.76%
2026-06-28T14:02:08Z,333.4MiB / 7.654GiB,25.49%
2026-06-28T14:02:15Z,333.4MiB / 7.654GiB,19.47%
2026-06-28T14:02:21Z,333.7MiB / 7.654GiB,23.92%
2026-06-28T14:02:28Z,333.7MiB / 7.654GiB,22.09%
2026-06-28T14:02:35Z,333.7MiB / 7.654GiB,24.56%
